OriginalFeature,Importance,MeanAbsSHAP
NumOfProducts,0.18033108,1.0043651
Age,0.038779356,0.69575727
Geography,0.040039223,0.29669347
Gender,0.019661319,0.25261644
ActivityStatus,0.03723757,0.24193949
AgeActivity,0.45079342,0.20365831
Balance,0.013360252,0.18648377
CreditScore,0.007988751,0.16680296
BalanceStatus,0.031218538,0.16450739
EstimatedSalary,0.008396066,0.1551979
AgeGroup,0.08773677,0.11091323
IsActiveMember,0.07001885,0.08511239
Tenure,0.0067134835,0.06047799
HasCrCard,0.007725376,0.039433774
