CustomerIndex,Geography,Gender,Age,AgeGroup,Balance,BalanceStatus,NumOfProducts,IsActiveMember,ActivityStatus,CreditScore,Tenure,EstimatedSalary,ChurnProbability,RiskScore,RiskLevel,CustomerValueScore,CustomerValueSegment,RetentionPriority,RecommendedAction
0,France,Female,42,36-45,0.0,Zero Balance,1,1,Active,619,2,101348.88,0.34545302,34.545302,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
1,Spain,Female,41,36-45,83807.86,Positive Balance,1,1,Active,608,1,112542.58,0.19036883,19.036883,Low,3814.7499999999995,Medium Value,Monitor,Standard engagement
2,France,Female,42,36-45,159660.8,Positive Balance,3,0,Inactive,502,8,113931.57,0.907523,90.75229999999999,Very High,9530.65,High Value,Critical,Priority relationship outreach
3,France,Female,39,36-45,0.0,Zero Balance,2,0,Inactive,699,1,93826.63,0.04114937,4.114936999999999,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
4,Spain,Female,43,36-45,125510.82,Positive Balance,1,1,Active,850,2,79084.1,0.06643934,6.643934,Low,5882.55,Medium Value,Monitor,Standard engagement
5,Spain,Male,44,36-45,113755.78,Positive Balance,2,0,Inactive,645,8,149756.71,0.1790396,17.903959999999998,Low,6618.249999999999,High Value,Monitor,Standard engagement
6,France,Male,50,46-55,0.0,Zero Balance,2,1,Active,822,7,10062.8,0.04118093,4.118093,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
7,Germany,Female,29,26-35,115046.74,Positive Balance,4,0,Inactive,376,4,119346.88,0.99498415,99.498415,Very High,7470.45,High Value,Critical,Priority relationship outreach
8,France,Male,44,36-45,142051.07,Positive Balance,2,1,Active,501,4,74940.5,0.03733102,3.733102,Low,8220.55,High Value,Monitor,Standard engagement
9,France,Male,27,26-35,134603.88,Positive Balance,1,1,Active,684,2,71725.73,0.034215312,3.4215311999999996,Low,6411.049999999998,High Value,Monitor,Standard engagement
10,France,Male,31,26-35,102016.72,Positive Balance,2,0,Inactive,528,6,80181.12,0.020544846,2.0544846,Low,5949.05,High Value,Monitor,Standard engagement
11,Spain,Male,24,18-25,0.0,Zero Balance,2,0,Inactive,497,3,76390.01,0.013092596,1.3092596,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
12,France,Female,34,26-35,0.0,Zero Balance,2,0,Inactive,476,10,26260.98,0.041517567,4.1517567,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
13,France,Female,25,18-25,0.0,Zero Balance,2,0,Inactive,549,5,190857.79,0.019316584,1.9316584,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
14,Spain,Female,35,26-35,0.0,Zero Balance,2,1,Active,635,7,65951.65,0.025118036,2.5118036,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
15,Germany,Male,45,36-45,143129.41,Positive Balance,2,1,Active,616,3,64327.26,0.287545,28.7545,Moderate,8266.75,High Value,Medium,Proactive engagement
16,Germany,Male,58,56-65,132602.88,Positive Balance,1,0,Inactive,653,1,5097.67,0.9767726,97.67726,Very High,6301.15,High Value,Critical,Priority relationship outreach
17,Spain,Female,24,18-25,0.0,Zero Balance,2,1,Active,549,9,14406.41,0.0251984,2.51984,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
18,Spain,Male,45,36-45,0.0,Zero Balance,1,0,Inactive,587,6,158684.81,0.47989523,47.989523,High,2029.0500000000002,Low Value,Medium,Re-engagement campaign
19,France,Female,24,18-25,0.0,Zero Balance,2,1,Active,726,6,54724.03,0.014799417,1.4799417000000001,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
20,France,Male,41,36-45,0.0,Zero Balance,2,1,Active,732,8,170886.17,0.022324504,2.2324504,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
21,Spain,Female,32,26-35,0.0,Zero Balance,2,0,Inactive,636,8,138555.46,0.035983298,3.5983297999999997,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
