Feature,MeanAbsSHAP,OriginalFeature
cat__NumOfProducts_2,0.7935903,NumOfProducts
num__Age,0.69575727,Age
cat__Geography_Germany,0.26191524,Geography
cat__Gender_Male,0.25261644,Gender
cat__ActivityStatus_Inactive,0.24193949,ActivityStatus
num__Balance,0.18648377,Balance
num__CreditScore,0.16680296,CreditScore
cat__BalanceStatus_Zero Balance,0.16450739,BalanceStatus
cat__NumOfProducts_3,0.16135292,NumOfProducts
num__EstimatedSalary,0.1551979,EstimatedSalary
remainder__IsActiveMember,0.08511239,IsActiveMember
cat__AgeActivity_56-65_Inactive,0.066986226,AgeActivity
cat__AgeGroup_46-55,0.06496584,AgeGroup
num__Tenure,0.06047799,Tenure
cat__NumOfProducts_4,0.04942181,NumOfProducts
remainder__HasCrCard,0.039433774,HasCrCard
cat__AgeGroup_26-35,0.038439207,AgeGroup
cat__Geography_Spain,0.03477825,Geography
cat__AgeActivity_46-55_Inactive,0.03201507,AgeActivity
cat__AgeActivity_26-35_Inactive,0.025894891,AgeActivity
cat__AgeActivity_66+_Active,0.024760148,AgeActivity
cat__AgeActivity_36-45_Active,0.012130504,AgeActivity
cat__AgeActivity_36-45_Inactive,0.011671283,AgeActivity
cat__AgeActivity_26-35_Active,0.009785819,AgeActivity
cat__AgeActivity_46-55_Active,0.007096443,AgeActivity
cat__AgeActivity_56-65_Active,0.005483772,AgeActivity
cat__AgeActivity_18-25_Inactive,0.0046980185,AgeActivity
cat__AgeGroup_36-45,0.004496768,AgeGroup
cat__AgeActivity_66+_Inactive,0.003136145,AgeActivity
cat__AgeGroup_56-65,0.0016768143,AgeGroup
cat__AgeGroup_66+,0.0013346075,AgeGroup
