Feature,Importance,BusinessFeature,OriginalFeature
cat__AgeActivity_46-55_Inactive,0.28002715,AgeActivity_46-55_Inactive,AgeActivity
cat__NumOfProducts_2,0.09529173,NumOfProducts_2,NumOfProducts
remainder__IsActiveMember,0.07001885,IsActiveMember,IsActiveMember
cat__AgeActivity_56-65_Inactive,0.063895665,AgeActivity_56-65_Inactive,AgeActivity
cat__NumOfProducts_3,0.05983074,NumOfProducts_3,NumOfProducts
cat__AgeGroup_26-35,0.04698779,AgeGroup_26-35,AgeGroup
cat__AgeActivity_66+_Active,0.04155505,AgeActivity_66+_Active,AgeActivity
num__Age,0.038779356,Age,Age
cat__ActivityStatus_Inactive,0.03723757,ActivityStatus_Inactive,ActivityStatus
cat__BalanceStatus_Zero Balance,0.031218538,BalanceStatus_Zero Balance,BalanceStatus
cat__Geography_Germany,0.030884264,Geography_Germany,Geography
cat__AgeGroup_46-55,0.025799325,AgeGroup_46-55,AgeGroup
cat__NumOfProducts_4,0.025208622,NumOfProducts_4,NumOfProducts
cat__Gender_Male,0.019661319,Gender_Male,Gender
num__Balance,0.013360252,Balance,Balance
cat__AgeActivity_26-35_Active,0.012302445,AgeActivity_26-35_Active,AgeActivity
cat__AgeActivity_36-45_Active,0.010428208,AgeActivity_36-45_Active,AgeActivity
cat__Geography_Spain,0.009154959,Geography_Spain,Geography
cat__AgeActivity_26-35_Inactive,0.008705901,AgeActivity_26-35_Inactive,AgeActivity
num__EstimatedSalary,0.008396066,EstimatedSalary,EstimatedSalary
num__CreditScore,0.007988751,CreditScore,CreditScore
remainder__HasCrCard,0.007725376,HasCrCard,HasCrCard
cat__AgeActivity_36-45_Inactive,0.007701468,AgeActivity_36-45_Inactive,AgeActivity
cat__AgeActivity_56-65_Active,0.0074961837,AgeActivity_56-65_Active,AgeActivity
cat__AgeActivity_18-25_Inactive,0.007051785,AgeActivity_18-25_Inactive,AgeActivity
num__Tenure,0.0067134835,Tenure,Tenure
cat__AgeActivity_46-55_Active,0.0062955557,AgeActivity_46-55_Active,AgeActivity
cat__AgeGroup_36-45,0.006289881,AgeGroup_36-45,AgeGroup
cat__AgeGroup_56-65,0.006098612,AgeGroup_56-65,AgeGroup
cat__AgeActivity_66+_Inactive,0.0053340136,AgeActivity_66+_Inactive,AgeActivity
cat__AgeGroup_66+,0.0025611655,AgeGroup_66+,AgeGroup
